Variable,Finger Tapping MED_Level,Finger Tapping MED_Coefficient,Finger Tapping MED_Percentage_Change,Finger Tapping MED_Percentage_Change_CI_Lower,Finger Tapping MED_Percentage_Change_CI_Upper,Finger Tapping MED_P_Value,Finger Tapping MED_P_Value_Formatted,Finger Tapping MED_CI_Lower,Finger Tapping MED_CI_Upper,Bonferroni_Corrected_Alpha,Significant_After_Bonferroni,Data_Points_Analyzed
meanamplitude,ON,0.042,4.01,0.42,7.59,0.028393961217750154,0.028,0.004,0.08,0.0025,No,1401
stdamplitude,ON,0.002,0.86,-3.91,5.62,0.7244044110244767,0.724,-0.008,0.011,0.0025,No,1401
meanrmsvelocity,ON,0.946,14.87,11.18,18.56,2.7414266485308198e-15,<1e-10,0.711,1.181,0.0025,Yes,1401
stdrmsvelocity,ON,0.021,1.95,-2.79,6.68,0.42060331671715456,0.421,-0.03,0.071,0.0025,No,1401
meanopeningspeed,ON,0.844,17.21,13.29,21.13,7.243527132943857e-18,<1e-10,0.652,1.036,0.0025,Yes,1401
stdopeningspeed,ON,0.059,5.87,1.45,10.3,0.009319247710340421,0.009,0.014,0.103,0.0025,No,1401
meanclosingspeed,ON,0.745,13.2,9.46,16.95,4.662799609190262e-12,<1e-10,0.534,0.957,0.0025,Yes,1401
stdclosingspeed,ON,0.013,1.08,-3.16,5.31,0.6173242218560677,0.617,-0.037,0.062,0.0025,No,1401
meancycleduration,ON,0.034,1.37,-102.09,104.84,0.9792677732519841,0.979,-2.539,2.607,0.0025,No,1401
stdcycleduration,ON,-0.02,-25.58,-32.32,-18.83,1.0824610904615366e-13,<1e-10,-0.026,-0.015,0.0025,Yes,1401
rangecycleduration,ON,-0.07,-21.34,-30.13,-12.54,2.0000007427798123e-06,2.00e-06,-0.098,-0.041,0.0025,Yes,1402
amplitudedecay,ON,-0.04,-3.21,-6.05,-0.37,0.026950743445215367,0.027,-0.076,-0.005,0.0025,No,1398
velocitydecay,ON,-0.062,-5.04,-7.58,-2.5,9.88148302720691e-05,9.88e-05,-0.093,-0.031,0.0025,Yes,1398
ratedecay,ON,-0.025,-2.43,-4.89,0.02,0.05219775128296421,0.052,-0.05,0.0,0.0025,No,1399
cvamplitude,ON,-0.01,-4.53,-9.72,0.67,0.0878313948085921,0.088,-0.021,0.001,0.0025,No,1401
cvcycleduration,ON,-0.017,-10.24,-15.68,-4.81,0.00022157991057301043,2.22e-04,-0.027,-0.008,0.0025,Yes,1401
rate,ON,0.329,12.9,9.84,15.96,1.4180444026979883e-16,<1e-10,0.251,0.407,0.0025,Yes,1401
meanspeed,ON,0.413,16.06,12.25,19.87,1.4864349854891346e-16,<1e-10,0.315,0.511,0.0025,Yes,1401
stdspeed,ON,0.017,3.67,-0.99,8.33,0.12296301626502588,0.123,-0.005,0.039,0.0025,No,1401
cvspeed,ON,-0.017,-8.63,-13.01,-4.25,0.00011135120602565281,1.11e-04,-0.026,-0.008,0.0025,Yes,1401
