,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
meanamplitude,0.23442494145858175,-0.20627940170087275,0.33314601288692075,0.2533737287043278,0.004496994994596832,0.05131777261305635,-0.16564817595146586,0.05104734469399853,-0.05066235333126793,-0.008834259629302002,0.3372046712138803,-0.1438407547432249,0.01291628825221397,0.43745464573323495,0.07882483643029323,0.5906223971853739,0.017272117987230703,0.05102771168373161,-0.08978301855431665,0.004875766270751458
stdamplitude,0.23053157419083992,0.25443585608557456,0.09144995187374558,0.021796246363818855,-0.11527649193226458,-0.03110622140633682,-0.19519299574073157,0.7102683415111182,0.1512691283468849,-0.08888684185517443,-0.28240668614712405,0.12033405457711961,0.09732861009921369,-0.0026093505902670955,0.16159310452251902,0.027861616642998133,-0.3820252137490225,-0.09053995945619477,0.03016424254190595,0.0024063322477453136
meanrmsvelocity,0.3572352305476222,-0.16106568523710163,0.08052780802485804,0.03326108430227639,-0.032744781071249264,0.02155106053546017,0.17898033659011053,0.008866936733924816,0.030158967723220284,0.018713400060380293,0.13589514380685508,0.020289093846588523,-0.040508931084004315,-0.04304353183363357,-0.015501456172542965,-0.11218420494902799,0.02155748378094618,-0.003537900269963189,0.8762168535611157,0.02256405572815705
stdrmsvelocity,0.27607402217717864,0.2782818594919981,-0.03231983239821909,-0.036032203438636654,0.10182702330463611,-0.04456613641501811,-0.20336973400515135,-0.12155710054046562,-0.03339963998927106,0.007174439136971822,-0.1450616696593129,0.18153870245369724,0.29452461466917196,-0.11933780988957675,-0.2552750988454669,0.25566407131244295,0.4565596228637161,-0.5278651679794276,0.03315779346836171,-0.025287804655206504
meanopeningspeed,0.3583924205620689,-0.13839049880111928,0.00950659821439322,-0.014776042094465052,-0.02498244926845928,0.015030395962716776,0.2619964962731261,-0.0037418207394623705,0.03793130269458765,-0.032929917325125645,0.05183141554374732,0.185942044906294,-0.3878809869673967,-0.4893681572665553,0.08156289124047203,0.2302885126329583,-0.03252466458414004,0.0021313976056941256,-0.23732884132784135,-0.48559077307508836
stdopeningspeed,0.3037344371407056,0.21920388594138765,0.022157327197788533,-0.029729797510915958,0.02929737761163034,-0.0295294552976497,-0.06769276413336858,-0.24069426223507592,-0.10575573786384762,-0.6267924821028596,-0.17192250413395074,-0.33474584997299367,-0.3593839843483122,0.21603151196949757,0.11884540951399013,-0.20711905823980317,0.004427762369704401,-0.11249202398923361,-0.04659081757733374,0.026737441255632755
meanclosingspeed,0.3467229610929281,-0.1683122963429064,0.10216064478631069,0.049811369542986185,-0.04068319449012447,0.026003021481388614,0.15068946553517953,0.04893196116988901,0.04047404444481702,0.061210097973286956,0.16296148797308396,-0.01143259829356311,0.40999208801218134,0.272071390304795,-0.13624598924601536,-0.5573601306311503,0.02188224373893712,-0.06521137099334245,-0.27784356290377604,-0.35464523590209734
stdclosingspeed,0.264087935479189,0.24054400294141934,0.11286806806464089,-0.0036039794401561505,0.0920603118409497,-0.047703880517938925,-0.28526647791544585,-0.18139088054496527,-0.02145940639172728,0.7285142623420274,-0.07012767543165194,-0.16544281447806616,-0.3181016772387201,0.03940154354837053,0.16507548089472823,-0.18238893088025776,-0.07157593173997252,-0.015074232487114128,-0.041320332012651166,0.028571235904556843
meancycleduration,0.02635385775540514,0.01204888682750471,0.020809446211433213,-0.31584662475047065,0.16776946563176742,0.9282969708869659,-0.06196594435962026,0.04945452826114575,-0.0492369682441136,0.0026524610952767614,-0.006281282361140158,-0.0025123381548742664,-0.0021038378765915683,0.01171407369342168,0.0128961935600577,0.0026052398988001303,-0.002816050999690801,-0.0002493675638527435,0.0009289500659482971,-0.00032519145891691425
stdcycleduration,-0.14349355682088338,0.1879488378251742,0.47186199508017423,0.03850548404082558,-0.1725073071471465,0.024837076384118344,0.1611864131175114,-0.012042722171468016,-0.3975261856505983,-0.00023108228521428523,-0.10358543339128577,0.5923957810815251,-0.23725254435975748,0.24033958107036696,-0.09172602758475634,-0.1104888735105878,0.08798946488286102,0.03585991603684332,0.007443631199478117,0.0001699117409283931
rangecycleduration,-0.10348614358937526,0.21884884066781743,0.4021437065351585,0.00030214192981868685,-0.03957951522790791,0.06864679739000092,0.24546476745250453,-0.2702600876786615,0.7839601914863827,-0.018313203341639894,-0.11545780581386858,0.018092221094527645,0.0479261962124588,0.059098134811235825,0.03969903617044929,0.06418435057739684,-0.003208025469329221,0.0012063514854445906,-0.00021956775834338933,0.004474979701679871
amplitudedecay,0.018653650666713692,0.20020844979305127,-0.25591099901406594,0.5289979359147656,-0.3212096773544614,0.25619049715581826,0.12444391105344513,-0.005326808330903082,0.02794760265278387,0.08443584013430105,-0.051083597701210556,-0.15131653262237887,-0.16923156568342346,0.0360434787822488,-0.5752571945204334,0.05176080360906609,-0.1790518436907562,-0.02886202473801258,-0.007758877884615875,0.002740617087668705
velocitydecay,-0.013751936106515946,0.20529941815158512,-0.1940719100695562,0.6094328740847763,0.2198265778408099,0.17473809072826416,0.21983940738675714,-0.026251409223158308,-0.08334793425002761,0.0020912709093952333,-0.04330276873878514,0.10766558116240178,0.16906104011135858,-0.0255747483412003,0.5772400498197926,-0.052204469040564916,0.184615000145371,0.030648739197163682,0.010101943598658243,-0.0023741231985293107
