,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
meanamplitude,-0.2923481962385537,0.06976748267639152,-0.24701624921097506,0.3706248518211561,0.027347429052190578,0.07058260771364024,-0.14629772966700605,0.04231564190993488,0.12513645428405792,0.18573342040050128,-0.058230980636616074,-0.150085574189615,0.014837270419191485,0.23500956716510518,0.4134670907471165,0.5931885877733606,-0.0862305509952862,0.058700020189459266,-0.1238228106131662,0.04240717640183215
stdamplitude,0.2667741816049818,0.19125578363650164,-0.05441301598298759,0.0558765817937259,-0.057633087890339565,-0.04722465493262758,0.12120116632586188,-0.08936249071329767,0.4364398507713601,0.6491561980209545,0.09863026888724488,0.030144447900364114,0.13768587904110915,0.05833833061928155,-0.13020548955021047,-0.11906573888926977,-0.2893019105326222,-0.30762112919992446,0.056669963061559164,0.019844966866361096
meanrmsvelocity,-0.26446384279111257,0.3152156167469807,-0.08088175422126756,0.10441162994245139,4.374834651622612e-05,0.012896429777477757,0.19812901230104962,-0.0596390186945995,-0.017724556240835024,-0.020507861632300145,-0.016830895352229782,-0.007775739581203344,-0.06470535063002393,-0.08953532913055122,0.0814161928688824,-0.016341122999753585,0.1371720065977152,-0.04295276225263247,0.8332467587337127,-0.18744969034214312
stdrmsvelocity,0.21308306065919763,0.3622458537049653,0.025673475797962413,0.002585826803575819,0.04234529926557124,-0.0032622662333713693,-0.22978615461391527,0.0729241103980565,0.0719469116133957,-0.014350522463882798,-0.024443811453008276,-0.2502686732776389,0.048850527104271464,0.18772463839655212,-0.4013228088094166,0.233251602990359,0.6435873221398751,-0.15322208863244044,-0.05737157740384504,-0.010187957577610153
meanopeningspeed,-0.22578802543143414,0.28867997632477577,-0.0625630464810107,0.08434675705788368,-0.032594983128374236,0.015637525213897288,-0.014150086829027153,-0.48105589209133387,-0.1993937415969038,0.010046599898672591,0.5611073434778737,-0.06727785934389055,0.0030026734439773,-0.16411784504212618,0.05755116149434309,-0.12206957703667362,0.0574103878275741,-0.08251799943480954,-0.33143735480533687,-0.31207997958625033
stdopeningspeed,0.1773089186344281,0.31260119434799377,-0.04331815939606086,0.05635646093725176,-0.0175039714053568,-0.04788105381268616,-0.3278681888839583,-0.48541489391577564,-0.12852652504940537,-0.04607834958568435,-0.4991890562330855,0.45133715456564666,0.06085055000510006,0.0774861184853562,0.1552462009764325,-0.090656134525809,-0.017721690313156808,0.02152779868516868,-0.022657055866777544,0.0721837866595313
meanclosingspeed,-0.2359168153760854,0.2945758602643528,-0.03239821459308659,0.058109270819888405,0.03297673739911097,0.002086429397451897,0.3463611880638244,0.2913411974669253,0.15210717305818316,-0.032828789319174344,-0.4854725880444815,-0.001991268997775203,-0.1301984830460562,-0.11817185813695082,-0.0071589332598202245,-0.19486194900067474,0.014772800309164396,-0.08266933751914854,-0.38841237602962486,-0.4005585986960861
stdclosingspeed,0.1320030812992208,0.34437501787124414,-0.12821406583386805,0.05390056788923633,0.025364104504980865,0.046326664082061,-0.10422718642511024,0.5475800889950547,0.049229108214696456,-0.18736770685579446,0.3816263941609069,0.5027048663548658,0.19868055656838363,-0.015188864402362596,0.20844461179110788,-0.07530517265110998,0.014105553511220772,0.00818693070374551,-0.029016005489219968,0.07298284986362208
meancycleduration,-0.00388629991729755,0.03104376415676301,0.0452909351068524,-0.16527421511051169,-0.38418421768641053,0.9035834595370277,-0.023388974559443946,-0.025487853198449643,0.0398682136596809,0.024589595931811887,-0.04469718683380088,0.00806793187366613,-0.003199560549283565,-0.005346547360858843,0.0028793093317419404,0.005911487271262722,0.004654815336862577,-0.006007136065945634,0.0004080186880669905,-0.00024307121101040517
stdcycleduration,0.2445301144377741,-0.10636683428439199,-0.36490932013231925,0.2587193757392833,-0.10230197037138367,0.05094550649274739,0.22660855225631268,0.06526433694754594,-0.36232313891236306,0.17746775424076225,-0.038747252728694344,-0.20346871507026157,0.1978532050157037,0.3610327138976397,0.15519153738488614,-0.4107355346826677,0.21233248964052628,0.21496638174765575,-0.0054856747374262185,-0.029095163916582862
